Drug A,Drug B,nAB1,Lift,Conviction
Voglibose,Warfarin potassium,3,29.489,1.004
Amlodipine besylate,Roxatidine Acetate Hydrochloride,4,29.376,1.018
Glimepiride,Warfarin potassium,3,29.335,1.004
Potassium chloride,Valsartan,3,28.986,1.003
Candesartan Cilexetil,Imidapril Hydrochloride,3,28.902,1.017
Theophylline,Tulobuterol,3,28.846,1.007
Clarithromycin,Tipepidine hibenzate,3,28.409,1.017
Cefepime hydrochloride hydrate,Roxatidine Acetate Hydrochloride,3,28.409,1.015
Mefenamic acid,Voglibose,3,28.302,1.005
Azithromycin Hydrate,Zonisamide,4,28.037,1.018
Cefepime hydrochloride hydrate,Nicardipine hydrochloride,3,27.985,1.015
Valsartan,Zonisamide,3,27.907,1.014
Cefmetazole Sodium,Mosapride Citrate Hydrate,3,27.769,1.006
Metoclopramide hydrochloride,Mosapride Citrate Hydrate,3,27.709,1.006
Phenytoin,Phenytoin sodium,3,27.557,1.021
Roxatidine Acetate Hydrochloride,Sodium valproate,3,27.473,1.005
Cefepime hydrochloride hydrate,Edaravone,3,26.786,1.014
Furosemide,Lisinopril hydrate,3,26.408,1.021
Candesartan Cilexetil,Roxatidine Acetate Hydrochloride,3,25.381,1.015
Indapamide,Levofloxacin hydrate,7,25.072,1.01
Brotizolam,Flunitrazepam,3,24.39,1.005
Levofloxacin hydrate,Piperacillin Sodium,7,24.373,1.019
Lansoprazole,Metoclopramide hydrochloride,3,24.207,1.01
Metoclopramide hydrochloride,Voglibose,3,24.122,1.005
Candesartan Cilexetil,Nicardipine hydrochloride,3,23.364,1.014
Nicardipine hydrochloride,Sodium valproate,3,23.334,1.005
Diclofenac sodium,Mefenamic acid,3,23.226,1.019
Cyproheptadine hydrochloride hydrate,L-Carbocysteine,3,23.136,1.004
Cefpirome sulfate,Diclofenac sodium,3,22.573,1.002
Phenytoin sodium,Sodium valproate,3,22.556,1.005
Oseltamivir phosphate,Tranexamic acid,4,22.535,1.011
Candesartan Cilexetil,Edaravone,3,22.523,1.013
Acetaminophen,Fluvoxamine Maleate,6,22.167,1.02
Felodipine,Valsartan,3,21.866,1.003
Diltiazem hydrochloride,Levofloxacin hydrate,7,21.429,1.01
Amlodipine besylate,Nicardipine hydrochloride,3,21.337,1.013
Flomoxef sodium,Levofloxacin hydrate,7,21.157,1.01
Amlodipine besylate,Edaravone,3,20.959,1.013
Clarithromycin,d-Chlorpheniramine maleate,3,20.921,1.012
Cefditoren pivoxil,L-Carbocysteine,4,20.464,1.005
Mefenamic acid,Warfarin potassium,3,20.188,1.004
Argatroban hydrate,aspirin,3,19.737,1.002
Teprenone,Zonisamide,3,19.659,1.013
Edaravone,aspirin,3,19.443,1.002
Loxoprofen sodium hydrate,Telithromycin,10,18.666,1.03
L-Carbocysteine,Tranexamic acid,3,18.511,1.008
Acetaminophen,Human serum albumin,3,18.473,1.017
Clarithromycin,Tranexamic acid,4,18.416,1.011
Cefepime hydrochloride hydrate,Levofloxacin hydrate,7,18.408,1.009
Levofloxacin hydrate,Nitroglycerin,5,18.382,1.014
Lansoprazole,Mosapride Citrate Hydrate,4,18.279,1.008
Acetaminophen,Domperidone,6,18.263,1.016
Minocycline hydrochloride,Sodium valproate,3,18.182,1.005
Azulenesulfonic acid sodium hydrate/L-glutamine,Sodium valproate,3,18.116,1.005
Furosemide,Potassium chloride,3,18.116,1.014
Cefdinir,Non-pirin cold medicine (4),3,17.647,1.006
Non-pirin cold medicine (4),Zonisamide,3,17.523,1.013
Azithromycin Hydrate,Candesartan Cilexetil,10,17.222,1.011
Metoclopramide hydrochloride,Warfarin potassium,3,17.212,1.004
Loxoprofen sodium hydrate,Piperacillin Sodium,10,17.198,1.027
Cefditoren pivoxil,Clarithromycin,3,17.071,1.004
Etodrak,Rebamipide,3,17.007,1.002
Amlodipine besylate,Cefepime hydrochloride hydrate,3,16.797,1.01
Candesartan Cilexetil,Levofloxacin hydrate,7,16.317,1.009
Phenobarbital,Sodium valproate,4,16.313,1.006
Furosemide,Insulin Aspart (genetically recombinant),3,16.234,1.012
Cefcapene Pivoxil Hydrochloride Hydrate,Serrapeptase,6,15.98,1.016
Eperisone hydrochloride,Teprenone,3,15.593,1.002
Famotidine,d-Chlorpheniramine maleate,3,15.584,1.01
Cefmetazole Sodium,Lansoprazole,3,15.416,1.003
