antecedents,consequents,antecedent support,consequent support,support,confidence,lift,representativity,leverage,conviction,zhangs_metric,jaccard,certainty,kulczynski
"Rifampin, Isoniazid",frozenset({'Ethambutol Hydrochloride'}),0.0057,0.006533333333333334,0.004533333333333334,0.7953216374269007,121.73290368779091,1.0,0.004496093333333334,4.8537942857142875,0.9974708781229479,0.5887445887445888,0.7939756114215213,0.7445995942236544
"Spironolactone, Famotidine",frozenset({'Furosemide'}),0.004566666666666667,0.0622,0.0032,0.7007299270072993,11.265754453493559,1.0,0.0029159533333333334,3.1336243902439027,0.9154158155577137,0.05034084950183534,0.6808807069815518,0.37608843617245996
"Infliximab (genetical recombination), Famotidine",frozenset({'Methotrexate'}),0.003766666666666667,0.0462,0.0034,0.902654867256637,19.537984139754048,1.0,0.00322598,9.798127272727257,0.9524050393737983,0.07301360057265568,0.8979396804955305,0.4881239704248553
"Infliximab (genetical recombination), Famotidine",frozenset({'Prednisolone'}),0.003766666666666667,0.091,0.0034,0.902654867256637,9.91928425556744,1.0,0.003057233333333333,9.337909090909077,0.9025860151669327,0.03721269609631521,0.8929096449467954,0.4700087523096372
"Famotidine, Methotrexate",frozenset({'Prednisolone'}),0.0074333333333333335,0.091,0.0057,0.7668161434977578,8.42655102744789,1.0,0.0050235666666666665,3.8982115384615383,0.8879277483092154,0.06146657081236521,0.7434721050580394,0.41472675306756024
"Folic acid, Infliximab (genetical recombination)",frozenset({'Methotrexate'}),0.0069,0.0462,0.006866666666666667,0.9951690821256038,21.54045632306502,1.0,0.0065478866666666665,197.43659999999912,0.9602011158547376,0.14852198990627255,0.9949350829582762,0.5718991153773763
"Folic acid, Methotrexate",frozenset({'Infliximab (genetical recombination)'}),0.0092,0.022266666666666667,0.006866666666666667,0.7463768115942029,33.51991668836241,1.0,0.006661813333333333,3.855062857142857,0.9791754040081369,0.27913279132791324,0.7406008573512235,0.5273800225635685
Folic acid,"frozenset({'Infliximab (genetical recombination)', 'Methotrexate'})",0.009766666666666667,0.0184,0.006866666666666667,0.7030716723549488,38.210416975812436,1.0,0.0066869600000000005,3.3058482758620693,0.9834339982632971,0.3223787167449139,0.6975057786827107,0.5381300390760251
"Folic acid, Prednisolone",frozenset({'Infliximab (genetical recombination)'}),0.0077666666666666665,0.022266666666666667,0.006266666666666667,0.8068669527896997,36.236539795944594,1.0,0.006093728888888889,5.0624859259259285,0.9800149959007869,0.26367461430575034,0.8024685866524952,0.5441520392691013
"Folic acid, Infliximab (genetical recombination)",frozenset({'Prednisolone'}),0.0069,0.091,0.006266666666666667,0.9082125603864735,9.980357806444763,1.0,0.005638766666666667,9.90331578947369,0.9060549707877975,0.06838850491087668,0.8990237187970005,0.48853851462547115
